"","fecha","empresa","unidad","sector","ingresos_vtas","ingresos_intersegmentos","resultado_operativo","resultado_neto","ppye","activos","tg"
"1",2016,"petrobras_ar","Millones de pesos","upstream",1346,8647,2754,2217,10334,21407,0.266498935552545
"2",2016,"petrobras_ar","Millones de pesos","petroquimica",3697,84,341,379,581,2461,0.586919104991394
"3",2016,"petrobras_ar","Millones de pesos","gas_y_energia",5384,370,766,844,791,5519,0.968394437420986
"4",2016,"petrobras_ar","Millones de pesos","downstream",11118,244,527,420,1407,4225,0.37455579246624
"5",2016,"petrobras_ar","Millones de pesos","adm_central",0,0,-1563,-3125,106,5442,-14.7452830188679
"6",2015,"petrobras_ar","Millones de pesos","upstream",1466,8983,1592,876,11312,18722,0.140735502121641
"7",2015,"petrobras_ar","Millones de pesos","downstream",11713,386,40,-309,1403,4133,0.0285103349964362
"8",2015,"petrobras_ar","Millones de pesos","petroquimica",4455,54,390,303,571,1908,0.683012259194396
"9",2015,"petrobras_ar","Millones de pesos","gas_y_energia",4321,304,752,803,780,3784,0.964102564102564
"10",2015,"petrobras_ar","Millones de pesos","adm_central",0,0,-1016,-939,108,3371,-9.40740740740741
"11",2014,"petrobras_ar","Millones de pesos","upstream",2015,8538,735,132,8985,15288,0.0818030050083473
"12",2014,"petrobras_ar","Millones de pesos","downstream",11199,277,412,246,1264,3660,0.325949367088608
"13",2014,"petrobras_ar","Millones de pesos","petroquimica",4311,125,505,529,496,1732,1.01814516129032
"14",2014,"petrobras_ar","Millones de pesos","gas_y_energia",3213,274,557,635,737,3075,0.755766621438263
"15",2014,"petrobras_ar","Millones de pesos","adm_central",0,0,-961,-964,107,677,-8.98130841121495
"16",2013,"petrobras_ar","Millones de pesos","upstream",1814,6024,1342,843,7105,13150,0.188881069669247
"17",2013,"petrobras_ar","Millones de pesos","downstream",7845,301,216,88,1213,3240,0.178070898598516
"18",2013,"petrobras_ar","Millones de pesos","petroquimica",3177,171,306,296,458,1490,0.668122270742358
"19",2013,"petrobras_ar","Millones de pesos","gas_y_energia",2504,200,398,432,641,2743,0.620904836193448
"20",2013,"petrobras_ar","Millones de pesos","adm_central",0,0,-911,-808,107,239,-8.51401869158878
"21",2012,"petrobras_ar","Millones de pesos","upstream",999,5071,1071,749,6067,11048,0.176528762155926
"22",2012,"petrobras_ar","Millones de pesos","downstream",6543,303,11,-54,1196,2658,0.00919732441471572
"23",2012,"petrobras_ar","Millones de pesos","petroquimica",2676,194,151,141,389,1217,0.388174807197943
"24",2012,"petrobras_ar","Millones de pesos","gas_y_energia",2315,166,548,592,732,2894,0.748633879781421
"25",2012,"petrobras_ar","Millones de pesos","adm_central",232,-5734,-549,-758,96,1030,-5.71875
"26",2011,"petrobras_ar","Millones de pesos","upstream",176,3968,343,-150,4590,9029,0.0747276688453159
"27",2011,"petrobras_ar","Millones de pesos","downstream",7621,312,138,146,1163,3330,0.11865864144454
"28",2011,"petrobras_ar","Millones de pesos","petroquimica",2380,98,199,848,271,810,0.734317343173432
"29",2011,"petrobras_ar","Millones de pesos","gas_y_energia",4101,152,600,577,4606,7490,0.130264871906209
"30",2011,"petrobras_ar","Millones de pesos","adm_central",0,-4530,-682,-717,96,1511,-7.10416666666667
"31",2010,"petrobras_ar","Millones de pesos","upstream",417,3244,704,570,4295,8764,0.163911525029104
"32",2010,"petrobras_ar","Millones de pesos","downstream",7025,320,251,142,1094,3134,0.229433272394881
"33",2010,"petrobras_ar","Millones de pesos","petroquimica",3437,69,333,334,875,1962,0.380571428571429
"34",2010,"petrobras_ar","Millones de pesos","gas_y_energia",3563,153,570,368,4420,6910,0.1289592760181
"35",2010,"petrobras_ar","Millones de pesos","adm_central",0,-3786,-416,-804,105,1989,-3.96190476190476
"36",2009,"petrobras_ar","Millones de pesos","upstream",578,2739,329,100,4450,8676,0.0739325842696629
"37",2009,"petrobras_ar","Millones de pesos","downstream",5414,214,57,34,1365,2890,0.0417582417582418
"38",2009,"petrobras_ar","Millones de pesos","petroquimica",2897,31,262,204,894,2172,0.293064876957494
"39",2009,"petrobras_ar","Millones de pesos","gas_y_energia",3083,191,639,270,4308,6600,0.148328690807799
"40",2009,"petrobras_ar","Millones de pesos","adm_central",0,-3175,-369,317,111,2745,-3.32432432432432
"41",2008,"petrobras_ar","Millones de pesos","upstream",2233,2507,1580,1359,5767,10185,0.273972602739726
"42",2008,"petrobras_ar","Millones de pesos","downstream",6684,258,-171,-250,1368,3066,-0.125
"43",2008,"petrobras_ar","Millones de pesos","petroquimica",3420,55,339,159,1124,2257,0.301601423487544
"44",2008,"petrobras_ar","Millones de pesos","gas_y_energia",2838,155,620,341,4175,5985,0.148502994011976
"45",2008,"petrobras_ar","Millones de pesos","adm_central",0,-2975,-416,-833,122,1598,-3.40983606557377
"46",2007,"petrobras_ar","Millones de pesos","upstream",3005,1619,1480,1214,4258,8354,0.347581023954908
"47",2007,"petrobras_ar","Millones de pesos","downstream",5606,220,-314,-189,1317,2937,-0.238420652999241
"48",2007,"petrobras_ar","Millones de pesos","petroquimica",3034,29,92,231,1009,2059,0.0911793855302279
"49",2007,"petrobras_ar","Millones de pesos","gas_y_energia",2588,238,653,324,3897,5314,0.167564793430844
"50",2007,"petrobras_ar","Millones de pesos","adm_central",-775,-2106,-375,-818,128,2730,-2.9296875
"51",2006,"petrobras_ar","Millones de pesos","upstream",2653,2128,2179,1857,4907,9752,0.444059506826982
"52",2006,"petrobras_ar","Millones de pesos","downstream",4262,269,-468,339,1123,2549,-0.416740872662511
"53",2006,"petrobras_ar","Millones de pesos","petroquimica",3447,43,162,169,821,1710,0.197320341047503
"54",2006,"petrobras_ar","Millones de pesos","gas_y_energia",2383,210,537,317,3850,5124,0.139480519480519
"55",2006,"petrobras_ar","Millones de pesos","adm_central",0,-2650,-260,-588,137,1354,-1.8978102189781
"56",2005,"petrobras_ar","Millones de pesos","upstream",2935,1722,2027,782,7103,9364,0.285372377868506
"57",2005,"petrobras_ar","Millones de pesos","downstream",3572,284,-149,32,947,2165,-0.157338965153115
"58",2005,"petrobras_ar","Millones de pesos","petroquimica",2140,38,267,246,702,1486,0.38034188034188
"59",2005,"petrobras_ar","Millones de pesos","gas_y_energia",2008,128,450,253,3932,5186,0.114445574771109
"60",2005,"petrobras_ar","Millones de pesos","adm_central",0,-2172,-299,-494,163,684,-1.83435582822086
"61",2004,"petrobras_ar","Millones de pesos","upstream",1953,1406,1182,275,6276,8036,0.188336520076482
"62",2004,"petrobras_ar","Millones de pesos","downstream",1541,204,120,182,186,887,0.645161290322581
"63",2004,"petrobras_ar","Millones de pesos","petroquimica",1857,20,278,301,670,1380,0.414925373134328
"64",2004,"petrobras_ar","Millones de pesos","gas_y_energia",1623,63,369,115,4027,5334,0.0916314874596474
"65",2004,"petrobras_ar","Millones de pesos","adm_central",0,-1693,-216,-176,121,985,-1.78512396694215
"66",2003,"petrobras_ar","Millones de pesos","upstream",1785,944,861,-64,6229,7810,0.138224434098571
"67",2003,"petrobras_ar","Millones de pesos","downstream",1231,71,54,88,181,642,0.298342541436464
"68",2003,"petrobras_ar","Millones de pesos","petroquimica",1294,0,185,165,652,1100,0.283742331288344
"69",2003,"petrobras_ar","Millones de pesos","gas_y_energia",1182,30,317,437,4140,5557,0.0765700483091787
"70",2003,"petrobras_ar","Millones de pesos","adm_central",2,-1045,-184,-239,137,1035,-1.34306569343066
"71",2002,"petrobras_ar","Millones de pesos","upstream",2033,733,917,1351,7055,8731,0.129978738483345
"72",2002,"petrobras_ar","Millones de pesos","downstream",942,66,44,210,177,588,0.248587570621469
"73",2002,"petrobras_ar","Millones de pesos","petroquimica",1254,0,266,431,762,1280,0.349081364829396
"74",2002,"petrobras_ar","Millones de pesos","gas_y_energia",771,11,101,-333,682,1815,0.148093841642229
"75",2002,"petrobras_ar","Millones de pesos","adm_central",106,850,-105,-3232,153,1206,-0.686274509803922
"76",2001,"petrobras_ar","Millones de pesos","upstream",1944,0,586,NA,5757,6915,0.101789126281049
"77",2001,"petrobras_ar","Millones de pesos","downstream",779,0,29,NA,190,561,0.152631578947368
"78",2001,"petrobras_ar","Millones de pesos","petroquimica",806,0,62,NA,629,1167,0.0985691573926868
"79",2001,"petrobras_ar","Millones de pesos","gas_y_energia",441,0,564,NA,733,2614,0.769440654843111
"80",2001,"petrobras_ar","Millones de pesos","adm_central",-502,0,41,NA,184,1509,0.222826086956522
"81",2000,"petrobras_ar","Millones de pesos","upstream",1569,0,543,NA,4478,5145,0.121259490844127
"82",2000,"petrobras_ar","Millones de pesos","downstream",731,0,37,NA,179,563,0.206703910614525
"83",2000,"petrobras_ar","Millones de pesos","petroquimica",862,0,110,NA,679,1261,0.1620029455081
"84",2000,"petrobras_ar","Millones de pesos","gas_y_energia",421,0,565,NA,768,2767,0.735677083333333
"85",2000,"petrobras_ar","Millones de pesos","adm_central",123,0,-111,NA,168,1530,-0.660714285714286
