anio,unidades,produccion_gas_natural
1950,MMm3,754.605
1951,MMm3,830.044
1952,MMm3,898.131
1953,MMm3,932.093
1954,MMm3,985.392
1955,MMm3,1064.610
1956,MMm3,1148.014
1957,MMm3,1414.427
1958,MMm3,1653.897
1959,MMm3,2152.447
1960,MMm3,3574.709
1961,MMm3,4908.576
1962,MMm3,6173.016
1963,MMm3,5946.580
1964,MMm3,6585.748
1965,MMm3,6236.429
1966,MMm3,5962.888
1967,MMm3,6468.129
1968,MMm3,7064.696
1969,MMm3,7007.440
1970,MMm3,7664.918
1971,MMm3,8117.060
1972,MMm3,8316.821
1973,MMm3,8914.381
1974,MMm3,9427.815
1975,MMm3,10275.106
1976,MMm3,11031.772
1977,MMm3,11662.746
1978,MMm3,11504.179
1979,MMm3,12815.343
1980,MMm3,13465.648
1981,MMm3,13629.016
1982,MMm3,15523.345
1983,MMm3,17180.631
1984,MMm3,18763.962
1985,MMm3,19113.137
1986,MMm3,19245.710
1987,MMm3,19171.050
1988,MMm3,22734.097
1989,MMm3,24206.889
1990,MMm3,23017.917
1991,MMm3,24642.916
1992,MMm3,25042.630
1993,MMm3,26662.657
1994,MMm3,27697.397
1995,MMm3,30441.179
1996,MMm3,34649.729
1997,MMm3,37073.982
1998,MMm3,38630.230
1999,MMm3,42425.479
2000,MMm3,45211.565
2001,MMm3,48038.567
2002,MMm3,46457.100
2003,MMm3,50947.741
2004,MMm3,52156.988
2005,MMm3,51278.599
2006,MMm3,51645.774
2007,MMm3,50971.152
2008,MMm3,50488.255
2009,MMm3,48419.249
2010,MMm3,47107.584
2011,MMm3,45527.554
2012,MMm3,44123.694
2013,MMm3,41708.289
2014,MMm3,41484.025
2015,MMm3,42972.906
