"","anio","tcc_avg"
"1",2002,3.40069158415842
"2",2003,2.94932409638554
"3",2004,2.94236587301587
"4",2005,2.92317509881423
"5",2006,3.07412168674699
"6",2007,3.11561862348178
"7",2008,3.16140803212851
"8",2009,3.73014105691057
"9",2010,3.91268943089431
"10",2011,4.13022642276423
"11",2012,4.55148181818182
"12",2013,5.47889253112033
"13",2014,8.11881611570248
"14",2015,9.26893401639344
"15",2016,14.7794392712551
"16",2017,16.5665483739837
"17",2018,28.0937185950413
"18",2019,48.2423069958848
"19",2020,70.5941458333333
"20",2021,90.3377861702128
