anio;value;pais;prod_us
1987;0.526568413;EEUU;0.05906212
1988;0.538709334;EEUU;0.060423896
1989;0.543671514;EEUU;0.060980475
1990;0.549724929;EEUU;0.061659452
1991;0.562351945;EEUU;0.063075751
1992;0.592207886;EEUU;0.066424518
1993;0.611697178;EEUU;0.068610519
1994;0.630643391;EEUU;0.070735605
1995;0.647121548;EEUU;0.072583865
1996;0.673981801;EEUU;0.075596623
1997;0.712413036;EEUU;0.079907232
1998;0.743278565;EEUU;0.083369239
1999;0.786526882;EEUU;0.088220151
2000;0.812887909;EEUU;0.091176914
2001;0.827154324;EEUU;0.092777095
2002;0.904494066;EEUU;0.101451845
2003;0.967864374;EEUU;0.108559724
2004;1;EEUU;0.112164191
2005;1.040576465;EEUU;0.112164191
2006;1.048877086;EEUU;0.112164191
2007;1.097774714;EEUU;0.112164191
2008;1.085280131;EEUU;0.112164191
2009;1.105737969;EEUU;0.112164191
2010;1.212024839;EEUU;0.112164191
2011;1.222477977;EEUU;0.112164191
2012;1.213132083;EEUU;0.112164191
2013;1.233363818;EEUU;0.112164191
2014;1.226799046;EEUU;0.112164191
2015;1.199400484;EEUU;0.112164191
2016;1.199130272;EEUU;0.112164191
2017;1.197635675;EEUU;0.112164191
2018;1.201730441;EEUU;0.112164191
