"anio","unidad","expo_gas","expo_sesco_gas","expo_gas_mecon","...1","expo_indec_gas","expo_gas_comtrade"
1962,"Miles de m3",135164.928086839,NA,NA,NA,NA,135164.928086839
1963,"Miles de m3",25280.2360922659,NA,NA,NA,NA,25280.2360922659
1964,"Miles de m3",1471.16689280868,NA,NA,NA,NA,1471.16689280868
1965,"Miles de m3",729.731343283582,NA,NA,NA,NA,729.731343283582
1966,"Miles de m3",701.407055630936,NA,NA,NA,NA,701.407055630936
1967,"Miles de m3",2322.98236092266,NA,NA,NA,NA,2322.98236092266
1968,"Miles de m3",1349.43012211669,NA,NA,NA,NA,1349.43012211669
1969,"Miles de m3",136.225237449118,NA,NA,NA,NA,136.225237449118
1970,"Miles de m3",0.131614654002714,NA,NA,NA,NA,0.131614654002714
1971,"Miles de m3",5351.42469470828,NA,NA,NA,NA,5351.42469470828
1972,"Miles de m3",987.872455902307,NA,NA,NA,NA,987.872455902307
1974,"Miles de m3",912.143826322931,NA,NA,NA,NA,912.143826322931
1975,"Miles de m3",4119.87381275441,NA,NA,NA,NA,4119.87381275441
1976,"Miles de m3",11963.3867028494,NA,NA,NA,NA,11963.3867028494
1977,"Miles de m3",12343.4789687924,NA,NA,NA,NA,12343.4789687924
1978,"Miles de m3",7362.79104477612,NA,NA,NA,NA,7362.79104477612
1979,"Miles de m3",0.799185888738128,NA,NA,NA,NA,0.799185888738128
1984,"Miles de m3",66453.2971506106,NA,NA,NA,NA,66453.2971506106
1985,"Miles de m3",30916.0868385346,NA,NA,NA,NA,30916.0868385346
1986,"Miles de m3",27412.618724559,NA,NA,NA,NA,27412.618724559
1987,"Miles de m3",816.569877883311,NA,NA,NA,NA,816.569877883311
1988,"Miles de m3",65338.7245590231,NA,NA,NA,NA,65338.7245590231
1989,"Miles de m3",176647.10990502,NA,NA,NA,NA,176647.10990502
1990,"Miles de m3",115945.693351425,NA,NA,NA,NA,115945.693351425
1991,"Miles de m3",234655.717774763,NA,NA,NA,NA,234655.717774763
1992,"Miles de m3",342413.872455902,NA,NA,NA,NA,342413.872455902
1993,"Miles de m3",572871.902306649,NA,NA,NA,NA,572871.902306649
1994,"Miles de m3",681565.047489824,NA,NA,NA,NA,681565.047489824
1995,"Miles de m3",625862.556309362,NA,NA,NA,NA,625862.556309362
1996,"Miles de m3",747284.667571235,NA,NA,NA,NA,747284.667571235
1997,"Miles de m3",670741.925,670741.925,NA,NA,NA,1757125.29715061
1998,"Miles de m3",1985047.108,1985047.108,NA,NA,NA,2747556.6458616
1999,"Miles de m3",NA,NA,NA,NA,NA,4538795.31886024
2000,"Miles de m3",NA,NA,NA,NA,NA,5203995.15332429
2001,"Miles de m3",6180275.115,6180275.115,6051465,NA,NA,6706918.36092266
2002,"Miles de m3",5846336.57,5846336.57,5846338,NA,NA,7068693.3568521
2003,"Miles de m3",6460531.3,6460531.3,6460540,NA,NA,8045544.33514247
2004,"Miles de m3",7348143.5,7348143.5,7348146,NA,NA,9180055.66350068
2005,"Miles de m3",6600100.674,6600100.674,6600108,NA,NA,8177834.69877883
2006,"Miles de m3",3067470.604,3067470.604,6300250,NA,NA,8531774.64721845
2007,"Miles de m3",1245025.856,1245025.856,2662269,NA,NA,4851839.5468114
2008,"Miles de m3",697935.98923,697935.98923,1010304,NA,NA,2987293.65671642
2009,"Miles de m3",777117.467,777117.467,884383,NA,NA,3049536.40705563
2010,"Miles de m3",401183.718,401183.718,465690,NA,NA,2285758.47625509
2011,"Miles de m3",152493.24,152493.24,200176,NA,NA,1938687.11261872
2012,"Miles de m3",69344.105,69344.105,106887,NA,NA,1436468.42469471
2013,"Miles de m3",61109.786,61109.786,87337,NA,NA,1255072.01763908
2014,"Miles de m3",25786.151,25786.151,63328,NA,NA,1215383.15603799
2015,"Miles de m3",22618.341,22618.341,NA,NA,NA,1230924.85617368
2016,"Miles de m3",27875.572,27875.572,NA,NA,NA,1279842.88059701
2017,"Miles de m3",68217.427,68217.427,NA,NA,NA,1261891.34328358
2018,"Miles de m3",315347.346,315347.346,NA,NA,NA,680752.075983718
2019,"Miles de m3",1211468.439,1211468.439,NA,NA,NA,2782391.60108548
2020,"Miles de m3",536734.131,536734.131,NA,NA,NA,NA
