"anio","IPC_03","IPC_70","IPC_18","fuente"
1962,0.000000000000703955364106927,0.208849400367791,0.0000000000000386318499247854,"Ver anexo metodológico"
1963,0.00000000000088680806684157,0.263098120199918,0.0000000000000486664892365374,"Ver anexo metodológico"
1964,0.00000000000108318584698291,0.321359458516601,0.0000000000000594433613477505,"Ver anexo metodológico"
1965,0.00000000000139292585501903,0.413253090196395,0.0000000000000764413559881258,"Ver anexo metodológico"
1966,0.00000000000183675872745751,0.544929378209185,0.000000000000100798134548202,"Ver anexo metodológico"
1967,0.00000000000237347254721218,0.704161575504924,0.000000000000130252058467973,"Ver anexo metodológico"
1968,0.00000000000275861518825782,0.818425652092358,0.000000000000151388018881297,"Ver anexo metodológico"
1969,0.00000000000296766645394597,0.880446958713819,0.000000000000162860389907117,"Ver anexo metodológico"
1970,0.00000000000337063627124252,1,0.000000000000184974674845862,"Ver anexo metodológico"
1971,0.00000000000454101964121109,1.34722921009128,0.000000000000249203285079482,"Ver anexo metodológico"
1972,0.00000000000719546668557517,2.13475026865557,0.00000000000039487473682168,"Ver anexo metodológico"
1973,0.0000000000115345730222884,3.42207586166999,0.00000000000063299736981028,"Ver anexo metodológico"
1974,0.0000000000143278321397339,4.25077967088159,0.000000000000786286587462723,"Ver anexo metodológico"
1975,0.0000000000405180930771231,12.0209034189817,0.00000000000222356270127966,"Ver anexo metodológico"
1976,0.000000000220423314188471,65.3951647257434,0.000000000012096449331636,"Ver anexo metodológico"
1977,0.00000000060843827554421,180.511400988372,0.0000000000333900377037951,"Ver anexo metodológico"
1978,0.00000000167630114160108,497.324839201098,0.0000000000919925004239938,"Ver anexo metodológico"
1979,0.00000000435018672150134,1290.6129203605,0.000000000238730705295552,"Ver anexo metodológico"
1980,0.0000000087336169609303,2591.08852398091,0.000000000479285757220213,"Ver anexo metodológico"
1981,0.0000000178582571084166,5298.18576414759,0.000000000980030188996175,"Ver anexo metodológico"
1982,0.0000000472848566498854,14028.4660950541,0.00000000259491095451883,"Ver anexo metodológico"
1983,0.000000209849972819022,62258.2669656209,0.0000000115162026884326,"Ver anexo metodológico"
1984,0.0000015250502257203,452451.73403362,0.0000000836921123863153,"Ver anexo metodológico"
1985,0.00001177616464582,3493751.23809457,0.000000646255499258871,"Ver anexo metodológico"
1986,0.0000223853376350186,6641279.5192424,0.00000122846851963235,"Ver anexo metodológico"
1987,0.0000517850220993169,15363574.6880002,0.00000284187223238295,"Ver anexo metodológico"
1988,0.000229383819045593,68053566.3259314,0.0000125881863032405,"Ver anexo metodológico"
1989,0.00729315452976908,2163732287.57803,0.00040023567634824,"Ver anexo metodológico"
1990,0.176054031057222,52231690663.0577,0.00966153999704875,"Ver anexo metodológico"
1991,0.478288957432225,141898715537.145,0.0262476687675288,"Ver anexo metodológico"
1992,0.597382767259921,177231454000.733,0.0327833305762449,"Ver anexo metodológico"
1993,0.66077418516155,196038412924.918,0.0362621416880856,"Ver anexo metodológico"
1994,0.688376704720036,204227525406.139,0.0377769201065756,"Ver anexo metodológico"
1995,0.711617031837198,211122463111.356,0.0390523089666805,"Ver anexo metodológico"
1996,0.71272489304876,211451143254.335,0.0391131064692564,"Ver anexo metodológico"
1997,0.716492353872698,212568873119.192,0.0393198581875738,"Ver anexo metodológico"
1998,0.723117540003309,214534432615.224,0.0396834369162425,"Ver anexo metodológico"
1999,0.714680978042497,212031474336.162,0.0392204530224203,"Ver anexo metodológico"
2000,0.707972653572526,210041249366.709,0.0388523118058257,"Ver anexo metodológico"
2001,0.700430168522064,207803545727.544,0.0384383933027696,"Ver anexo metodológico"
2002,0.881620931716656,261559201518.846,0.0483818282538919,"Ver anexo metodológico"
2003,1.00013590489021,296720210787.244,0.0548857245105661,"Ver anexo metodológico"
2004,1.044299085301,309822538317.383,0.0573093232851776,"Ver anexo metodológico"
2005,1.14498688222364,339694582887.035,0.06283489501643,"Ver anexo metodológico"
2006,1.26976529816351,376713829669.742,0.0696825181531,"Ver anexo metodológico"
2007,1.43588226736628,425997393909.539,0.0787987294236016,"Ver anexo metodológico"
2008,1.76098333333333,522448342574.851,0.0966397122915426,"Ver anexo metodológico"
2009,2.02245833333333,600022716953.612,0.110989006968625,"Ver anexo metodológico"
2010,2.54528333333333,755134380724.818,0.139680736539505,"Ver anexo metodológico"
2011,3.152375,935246269938.801,0.172996874682735,"Ver anexo metodológico"
2012,3.89764166666667,1156351903028.05,0.213895817270008,"Ver anexo metodológico"
2013,4.90735,1455912060838,0.269306860057677,"Ver anexo metodológico"
2014,7.00209166666667,2077379789212.76,0.384262651040995,"Ver anexo metodológico"
2015,8.86241666666667,2629300806580.26,0.486354061769147,"Ver anexo metodológico"
2016,12.3141916666667,3653373035746.53,0.675781489377854,"Ver anexo metodológico"
2017,15.1975666666667,4508812415130.26,0.834016110429706,"Ver anexo metodológico"
2018,18.22215,5406145467390.56,1,"Ver anexo metodológico"
