anio,unidad,produccion_petroleo
1950,Mm3,3730.000
1951,Mm3,3889.600
1952,Mm3,3946.000
1953,Mm3,4531.400
1954,Mm3,4701.600
1955,Mm3,4849.800
1956,Mm3,4930.500
1957,Mm3,5397.900
1958,Mm3,5668.900
1959,Mm3,7087.400
1960,Mm3,10152.916
1961,Mm3,13428.346
1962,Mm3,15613.519
1963,Mm3,15444.151
1964,Mm3,15942.594
1965,Mm3,15624.714
1966,Mm3,16655.486
1967,Mm3,18231.631
1968,Mm3,19951.059
1969,Mm3,20681.347
1970,Mm3,22798.439
1971,Mm3,24565.257
1972,Mm3,25193.453
1973,Mm3,24440.932
1974,Mm3,24022.264
1975,Mm3,22968.224
1976,Mm3,23147.463
1977,Mm3,25047.334
1978,Mm3,26254.880
1979,Mm3,27433.915
1980,Mm3,28566.204
1981,Mm3,28852.369
1982,Mm3,28470.104
1983,Mm3,28474.112
1984,Mm3,27838.191
1985,Mm3,26675.061
1986,Mm3,25178.946
1987,Mm3,24857.138
1988,Mm3,26122.680
1989,Mm3,26713.284
1990,Mm3,28004.036
1991,Mm3,28620.520
1992,Mm3,32246.104
1993,Mm3,34447.295
1994,Mm3,38732.471
1995,Mm3,41739.330
1996,Mm3,45569.608
1997,Mm3,48402.958
1998,Mm3,49147.655
1999,Mm3,44666.665
2000,Mm3,43288.766
2001,Mm3,44616.993
2002,Mm3,43960.582
2003,Mm3,42957.054
2004,Mm3,40432.948
2005,Mm3,38572.465
2006,Mm3,38346.334
2007,Mm3,37904.567
2008,Mm3,37592.946
2009,Mm3,36239.941
2010,Mm3,35413.416
2011,Mm3,33326.279
2012,Mm3,33139.519
2013,Mm3,32461.091
2014,Mm3,31979.792
2015,Mm3,31973.253
