"","Period","Trade Flow","Reporter","Partner","Commodity Code","Trade Value (US$)","Netweight (kg)","Qty Unit","Qty","Flag","expo_bbl","expo_precio_bbl"
"1",1993,"Export","Argentina","World",2709,527361344,4523322368,"Volume in litres",5260624384,0,28450838.2634701,18.5358807046861
"2",1994,"Export","Argentina","World",2709,1125573120,10526416896,"Volume in litres",12242223104,0,66209162.2566298,17.0002622240896
"3",1995,"Export","Argentina","World",2709,1591854976,14010169344,"Volume in litres",16293826560,0,88121303.2415846,18.0643603469632
"4",1996,"Export","Argentina","World",2709,2319963648,16472775680,"Volume in litres",19157837824,0,103610629.199821,22.3911742059377
"5",1997,"Export","Argentina","World",2709,2191356416,16535476224,"Volume in litres",19230758912,0,104005003.708477,21.0697210505593
"6",1998,"Export","Argentina","World",2709,1462650880,17094863872,"Volume in litres",19881326592,0,107523445.730744,13.6030878666473
"7",1999,"Export","Argentina","World",2709,1599392752,14237253126,"Volume in litres",16557925386,0,89549617.0844461,17.8604086100308
"8",2000,"Export","Argentina","World",2709,2808667093,14359427673,"Weight in kilograms",14359427673,0,90318071.7719121,31.0975094784238
"9",2001,"Export","Argentina","World",2709,2394117965,15066209404,"Weight in kilograms",15066209404,0,94763594.5713732,25.2641109260246
"10",2002,"Export","Argentina","World",2709,2223884389,14196155759,"Weight in kilograms",14196155759,6,89291122.4545158,24.9059965634639
"11",2003,"Export","Argentina","World",2709,2298635334,12123208013,"Weight in kilograms",12123208013,0,76252674.9922475,30.1449796250912
"12",2004,"Export","Argentina","World",2709,2255856362,9430685825,"Weight in kilograms",9430685825,0,59317222.0089433,38.0303777823561
"13",2005,"Export","Argentina","World",2709,2508982815,7696232406,"Weight in kilograms",7696232406,0,48407839.5495829,51.830092777227
"14",2006,"Export","Argentina","World",2709,2406092876,5797625871,"Weight in kilograms",5797625871,0,36465965.1796745,65.9818782841682
"15",2007,"Export","Argentina","World",2709,1296002689,3042702849,"Weight in kilograms",3042702849,0,19138022.8066687,67.7187346933459
"16",2008,"Export","Argentina","World",2709,1618156132,3013572481,"Weight in kilograms",3013572481,0,18954798.3267186,85.3692085828765
"17",2009,"Export","Argentina","World",2709,2466356802,6432234310,"Weight in kilograms",6432234310,0,40457531.6853811,60.9616231949017
"18",2010,"Export","Argentina","World",2709,2583534304,4906145100,"Weight in kilograms",4906145100,0,30858720.511431,83.7213682609744
"19",2011,"Export","Argentina","World",2709,2182223595,3023702118,"Weight in kilograms",3023702118,0,19018511.8188176,114.742079495454
"20",2012,"Export","Argentina","World",2709,2611223721,3510137342,"Weight in kilograms",3510137342,0,22078096.955085,118.272137599187
"21",2013,"Export","Argentina","World",2709,1736775154,2432547814,"Weight in kilograms",2432547814,0,15300263.5659753,113.512760516246
"22",2014,"Export","Argentina","World",2709,1619632669,2425479290,"Weight in kilograms",2425479290,0,15255803.8930349,106.165016301727
"23",2015,"Export","Argentina","World",2709,670929750,2122011036,"Weight in kilograms",2122011036,0,13347046.2343432,50.2680322087772
"24",2016,"Export","Argentina","World",2709,748543642,2696693700,"Weight in kilograms",2696693700,0,16961691.001197,44.1314278126618
"25",2017,"Export","Argentina","World",2709,575226736,1529295400,"Weight in kilograms",1529295400,0,9618977.499874,59.8012352152331
"26",2018,"Export","Argentina","World",2709,1474856038,3103752000,"Weight in kilograms",3103752000,0,19522010.36712,75.548368752228
"27",2019,"Export","Argentina","World",2709,1119911767,2615804000,"Weight in kilograms",2615804000,0,16452910.15724,68.0677008685415
