anio,value,pais
1987,0.5265684134155122,EEUU
1988,0.5387093342900261,EEUU
1989,0.5436715139773945,EEUU
1990,0.5497249285692404,EEUU
1991,0.5623519445504164,EEUU
1992,0.5922078863054303,EEUU
1993,0.6116971778889778,EEUU
1994,0.6306433909975374,EEUU
1995,0.64712154778875,EEUU
1996,0.6739818007139493,EEUU
1997,0.7124130359662056,EEUU
1998,0.7432785646143938,EEUU
1999,0.7865268821157361,EEUU
2000,0.8128879086320927,EEUU
2001,0.8271543244801874,EEUU
2002,0.9044940661526081,EEUU
2003,0.9678643742236809,EEUU
2004,1,EEUU
2005,1.0405764645224898,EEUU
2006,1.0488770861326717,EEUU
2007,1.0977747143078003,EEUU
2008,1.0852801314044296,EEUU
2009,1.1057379686937272,EEUU
2010,1.2120248385351051,EEUU
2011,1.2224779766005047,EEUU
2012,1.213132082525743,EEUU
2013,1.233363818429713,EEUU
2014,1.2267990458540647,EEUU
2015,1.1994004835854042,EEUU
2016,1.1991302715414076,EEUU
2017,1.197635675044077,EEUU
2018,1.2017304406064955,EEUU
